movie,url,year,imdb,metascore,votes,certificate,runtime,genres,description,director,stars,revenue
The Secret in Their Eyes,https://www.imdb.com/title/tt1305806/,2009,8.2,80,206500,R,129 min,"Drama, Mystery, Romance            ",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo","6,391,436"
Traffic,https://www.imdb.com/title/tt0181865/,2000,7.6,86,205720,R,147 min,"Crime, Drama, Thriller            ","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",Steven Soderbergh,"Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones, Jacob Vargas","124,115,725"
The Raid: Redemption,https://www.imdb.com/title/tt1899353/,2011,7.6,73,201972,R,101 min,"Action, Crime, Thriller            ",A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Gareth Evans,"Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah","4,105,123"
Wild Tales,https://www.imdb.com/title/tt3011894/,2014,8.1,77,193812,R,122 min,"Comedy, Drama, Thriller            ",Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,"Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta","3,107,072"
The Last King of Scotland,https://www.imdb.com/title/tt0455590/,2006,7.7,74,184546,R,123 min,"Biography, Drama, History            ",Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,Kevin Macdonald,"James McAvoy, Forest Whitaker, Gillian Anderson, Kerry Washington","17,605,861"
Grindhouse,https://www.imdb.com/title/tt0462322/,2007,7.5,77,183629,R,191 min,"Action, Horror, Thriller            ",Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the '60s and '70s with two back-to-back cult films that include previews of coming attractions between them.,None,"Kurt Russell, Rose McGowan, Danny Trejo, Zoë Bell","25,037,897"
Battle Royale,https://www.imdb.com/title/tt0266308/,2000,7.6,81,180740,Not Rated,114 min,"Action, Adventure, Drama            ","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda, Tarô Yamamoto, Chiaki Kuriyama",180740
Upgrade,https://www.imdb.com/title/tt6499752/,2018,7.5,67,180633,R,100 min,"Action, Sci-Fi, Thriller            ","Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.",Leigh Whannell,"Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden","11,977,130"
Memories of Murder,https://www.imdb.com/title/tt0353969/,2003,8.1,82,173345,Not Rated,132 min,"Crime, Drama, Mystery            ","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,"Kang-ho Song, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song","14,131"
Promising Young Woman,https://www.imdb.com/title/tt9620292/,2020,7.5,73,160650,R,113 min,"Crime, Drama, Mystery            ","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown",160650
Searching,https://www.imdb.com/title/tt7668870/,2018,7.6,71,159136,PG-13,102 min,"Drama, Mystery, Thriller            ","After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",Aneesh Chaganty,"John Cho, Debra Messing, Joseph Lee, Michelle La","26,020,957"
We Need to Talk About Kevin,https://www.imdb.com/title/tt1242460/,2011,7.5,68,151514,R,112 min,"Drama, Mystery, Thriller            ","Kevin's mother struggles to love her strange child, despite the increasingly dangerous things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined.",Lynne Ramsay,"Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell","1,738,692"
The Skin I Live In,https://www.imdb.com/title/tt1189073/,2011,7.6,70,150179,R,120 min,"Drama, Horror, Thriller            ","A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",Pedro Almodóvar,"Antonio Banderas, Elena Anaya, Jan Cornet, Marisa Paredes","3,185,812"
The Handmaiden,https://www.imdb.com/title/tt4016934/,2016,8.1,84,138651,Not Rated,145 min,"Drama, Romance, Thriller            ","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Park Chan-wook,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong, Moon So-ri","2,006,788"
The Count of Monte Cristo,https://www.imdb.com/title/tt0245844/,2002,7.7,61,136546,PG-13,131 min,"Action, Adventure, Drama            ","A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",Kevin Reynolds,"Jim Caviezel, Guy Pearce, Christopher Adamson, JB Blanc","54,234,062"
I Saw the Devil,https://www.imdb.com/title/tt1588170/,2010,7.8,67,126227,Not Rated,144 min,"Action, Crime, Drama            ",A secret agent exacts revenge on a serial killer through a series of captures and releases.,Jee-woon Kim,"Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan, Ho-jin Chun","128,392"
Infernal Affairs,https://www.imdb.com/title/tt0338564/,2002,8.0,75,123545,R,101 min,"Action, Crime, Drama            ","A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",None,"Andy Lau, Tony Chiu-Wai Leung, Anthony Chau-Sang Wong, Eric Tsang","169,659"
The Raid 2,https://www.imdb.com/title/tt2265171/,2014,7.9,71,121727,R,150 min,"Action, Crime, Thriller            ","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara","2,625,803"
The Life of David Gale,https://www.imdb.com/title/tt0289992/,2003,7.5,31,119305,R,130 min,"Crime, Drama, Thriller            ",A man against capital punishment is accused of murdering a fellow activist and is sent to death row.,Alan Parker,"Kevin Spacey, Kate Winslet, Laura Linney, Cleo King","19,593,740"
