movie,url,year,imdb,metascore,votes,certificate,runtime,genres,description,director,stars,revenue
The Gentlemen,https://www.imdb.com/title/tt8367814/,2019,7.8,51,315612,R,113 min,"Action, Comedy, Crime            ","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong",315612
Soul,https://www.imdb.com/title/tt2948372/,2020,8.0,83,309341,PG,100 min,"Animation, Adventure, Comedy            ","After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",None,"Jamie Foxx, Tina Fey, Graham Norton, Rachel House",309341
"O Brother, Where Art Thou?",https://www.imdb.com/title/tt0190590/,2000,7.7,69,306751,PG-13,107 min,"Adventure, Comedy, Crime            ","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",None,"George Clooney, John Turturro, Tim Blake Nelson, John Goodman","45,512,588"
The Royal Tenenbaums,https://www.imdb.com/title/tt0265666/,2001,7.6,76,287648,R,110 min,"Comedy, Drama            ",The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,Wes Anderson,"Gene Hackman, Gwyneth Paltrow, Anjelica Huston, Ben Stiller","52,364,010"
Incredibles 2,https://www.imdb.com/title/tt3606756/,2018,7.6,80,285533,PG,118 min,"Animation, Action, Adventure            ",The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner","608,581,744"
Almost Famous,https://www.imdb.com/title/tt0181875/,2000,7.9,90,272226,R,122 min,"Adventure, Comedy, Drama            ",A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,Cameron Crowe,"Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand","32,534,850"
BlacKkKlansman,https://www.imdb.com/title/tt7349662/,2018,7.5,83,255722,R,135 min,"Biography, Comedy, Crime            ","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",Spike Lee,"John David Washington, Adam Driver, Laura Harrier, Topher Grace","49,275,340"
The Artist,https://www.imdb.com/title/tt1655442/,2011,7.9,89,239773,PG-13,100 min,"Comedy, Drama, Romance            ",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell","44,671,682"
Toy Story 4,https://www.imdb.com/title/tt1979376/,2019,7.7,84,238350,G,100 min,"Animation, Adventure, Comedy            ","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale","434,038,008"
Stranger Than Fiction,https://www.imdb.com/title/tt0420223/,2006,7.6,67,227025,PG-13,113 min,"Comedy, Drama, Fantasy            ","I.R.S. auditor Harold Crick suddenly finds his mundane Chicago life to be the subject of narration only he can hear: narration that begins to affect his entire existence, from his work to his love life to his death.",Marc Forster,"Will Ferrell, Emma Thompson, Dustin Hoffman, Queen Latifah","40,137,776"
Kiss Kiss Bang Bang,https://www.imdb.com/title/tt0373469/,2005,7.5,72,225009,R,103 min,"Comedy, Crime, Mystery            ","After being mistaken for an actor, a New York thief is sent to Hollywood to train under a private eye for a potential movie role, but the duo are thrown together with a struggling actress into a murder mystery.",Shane Black,"Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen","4,243,756"
Fantastic Mr. Fox,https://www.imdb.com/title/tt0432283/,2009,7.9,83,224978,PG,87 min,"Animation, Adventure, Comedy            ",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,Wes Anderson,"George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman","21,002,919"
Thank You for Smoking,https://www.imdb.com/title/tt0427944/,2005,7.6,71,220050,R,92 min,"Comedy, Drama            ","Satirical comedy follows the machinations of Big Tobacco's chief spokesman, Nick Naylor, who spins on behalf of cigarettes while trying to remain a role model for his 12-year old son.",Jason Reitman,"Aaron Eckhart, Cameron Bright, Maria Bello, Joan Lunden","24,792,061"
Captain Fantastic,https://www.imdb.com/title/tt3553976/,2016,7.8,72,214037,R,118 min,"Comedy, Drama            ","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso","5,875,006"
"I, Tonya",https://www.imdb.com/title/tt5580036/,2017,7.5,77,208930,R,119 min,"Biography, Comedy, Drama            ","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",Craig Gillespie,"Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson","30,014,539"
